"hhid","hhsize","adult","child","poly","boy","girl","otheradult","porl_hh","spouseabroad_hh","mealdata_hhmin","hh_kcal","hh_protein","hh_fat","hh_carb","hh_calcium","hh_iron","sampletype","AE_OECD","agehead","sexhead","maritalhead","abroadhead","lithead","noschoolhead","secondschoolhead","agworkhead","BMIhead","I_kcalhead","agespouse","sexspouse","abroadspouse","litspouse","noschoolspouse","secondschoolspouse","agworkspouse","BMIspouse","I_kcalspouse","nonfoodexp_hhwk","nonfoodexp_hhwk_pc","nonfoodexp_hhwk_AE_OECD","foodpurch_hhwk","foodprod_hhwk","foodother_hhwk","foodtot_hhwk","foodpurch_hhwk_pc","foodpurch_hhwk_AE_OECD","foodtot_hhwk_pc","foodtot_hhwk_AE_OECD","foodshare","totexp_hhwk","hhds","nofood","hungrynight","hungryday","dvcode","vcode","aeu","hhweightR2","popweightR2","hhsize_India_grp","hhsize_FAO_I","hhsize_FAO_age","hhsize_FAO_grp","hhsize_IOM_grp","hhsize_IOM_I"
11,6,4,2,0,0,2,2,0,0,6,3122.24466539197,48484.7189678572,67.8139607142857,454.439266526061,1707.23762,57.2749499803092,3,3.1,58,1,2,0,0,1,0,1,21.4705403099809,374.862838343392,43,2,0,0,1,0,0,29.0258436300129,383.498171039377,3291.73076923077,548.621794871795,1061.84863523573,440,205,30,645,73.3333333333333,141.935483870968,107.5,208.064516129032,0.163841531923208,3936.73076923077,11,0,0,0,40,1081701,5.29999989271164,6064.89013671875,36389.33984375,5.2,5.13056295914348,5.54840554478403,5.48723163908248,5.17341848164127,4.7221467378558
12,5,3,2,0,1,1,1,1,0,0,319.411762533564,16.6370741576414,20.0974763838748,18.0050341428728,129.391600481348,3.64136189757261,3,2.6,38,1,2,0,1,0,0,1,24.4367615095223,55.452534496207,25,2,0,1,0,0,1,20.1758926485805,61.6139272180077,729.153846153846,145.830769230769,280.443786982249,85,61.9376074851629,186,146.937607485163,17,32.6923076923077,29.3875214970326,56.5144644173703,0.167719485077534,876.091453639009,12,0,0,0,40,1081701,3.41999995708466,6064.89013671875,30324.451171875,2.89,2.36980414485983,2.63972541103478,2.63972541103478,2.55052990789533,2.26427838600367
13,5,3,2,0,0,2,1,0,0,6,1776.452115609,180.233504006772,85.9246315838976,70.1365746074743,1207.49978872586,26.0780736560477,3,2.6,38,1,2,0,1,0,0,1,20.1287581763931,385.335956344702,28,2,0,1,0,0,1,19.8191584567734,385.335956344702,660.692307692308,132.138461538462,254.112426035503,352,39.2298245614035,2077.25618760158,391.229824561404,70.4,135.384615384615,78.2459649122807,150.473009446694,0.371918997201062,1051.92213225371,11,0,0,0,40,1081701,3.55999997258186,6064.89013671875,30324.451171875,4.15,3.21624113359922,3.7965876479493,3.89662523098191,3.77907714865293,3.19570941962279
14,11,NA,NA,0,NA,NA,NA,0,0,0,3032.26803059273,285.779525,86.1844,271.753787546667,4109394.50706533,66.7885689011827,3,NA,73,1,2,0,0,0,0,1,20.4435941043084,327.573814169706,63,2,0,0,0,0,1,22.5762712764757,327.573814169706,3928.65384615385,357.15034965035,NA,777,2452.83448815328,158.333333333333,3229.83448815328,70.6363636363636,NA,293.621317104844,NA,0.451189460304666,7158.48833430713,12,0,0,0,40,1081701,7.6999998986721,6064.89013671875,60648.90234375,8.71,7.20635251605742,7.67431948457912,7.76222749002006,7.74236502510362,7.098763398966
15,4,NA,NA,0,NA,NA,NA,0,0,0,1469.17509230244,99.7030063008037,48.8662511532138,146.913236644795,897272.467866714,15944.4837306741,3,NA,50,1,2,0,0,1,0,1,19.3877611427827,465.004275163547,40,2,0,1,0,0,1,23.9556968299179,499.560106903509,1285.69230769231,321.423076923077,NA,137,916.684351277544,189.554824561404,1053.68435127754,34.25,NA,263.421087819386,NA,0.450412440954051,2339.37665896985,12,0,0,0,40,1081701,2.70999997854233,6064.89013671875,18194.669921875,2.55,2.87133274274589,2.95230546861459,2.99113675276018,2.88754046186687,2.68347447491379
16.1,10,NA,NA,NA,NA,NA,NA,1,0,0,2031.76356645773,18917.6747786619,85.5939705014865,140009.677777646,1990674.72762125,29026.8003832213,3,NA,45,1,2,0,1,0,0,1,22.464043153966,365.593414583808,33,2,0,1,0,0,0,24.7902257167387,334.597645482721,1894.53846153846,189.453846153846,NA,236,634.1336042102,15,870.1336042102,23.6,NA,87.0133604210201,NA,0.314733025659798,2764.67206574866,11,0,0,0,40,1081701,4.46999993920326,6064.89013671875,36389.33984375,5.13,4.04183720878529,4.21975135362956,4.0915955682601,4.03632674684567,3.86458987263249
17,4,NA,NA,0,NA,NA,NA,0,0,0,781.876673040153,81.4941166666667,27.0271214285714,50.0734593090909,362532.55246,19.2589550663601,3,NA,47,1,2,0,0,0,0,1,21.8771039558002,260.625557680051,40,2,0,1,0,0,0,26.8229367933406,252.382103553977,1497.30769230769,374.326923076923,NA,35,0,347.5,35,8.75,NA,8.75,NA,0.0228413654618474,1532.30769230769,5,0,0,0,40,1081701,2.74999994039536,6064.89013671875,18194.669921875,2.65,2.57855825878045,2.72072101751475,2.72072101751475,2.6654174267417,2.37492363820926
18.1,7,NA,NA,0,NA,NA,NA,1,0,0,879102.005006101,76030.3691428864,42395.0556855414,152.799852816156,667.305636030038,38.540422702778,3,NA,71,1,2,0,0,1,0,0,18.4299178767056,175166.181223042,63,2,0,0,1,0,1,28.424822203822,175163.554368938,18364.1923076923,2623.45604395604,NA,625,1674.15503278163,473.333333333333,2299.15503278163,89.2857142857143,NA,328.450718968804,NA,0.111267307997006,20663.3473404739,11,0,0,0,40,1081701,4.43999999761581,6064.89013671875,36389.33984375,5.07,4.57733870897337,5.02136349750011,5.21262896120721,5.14514733596395,4.504631156359
19,6,NA,NA,NA,NA,NA,NA,1,0,0,134465.086571803,99.8932030035842,3709.07122541594,225.351540643205,912.676386930363,35.3831494235676,3,NA,43,1,2,0,1,0,0,0,24.4274238045806,67137.6785110956,27,2,0,0,0,0,0,31.0570987654321,67112.6080607075,546.653846153846,91.1089743589744,NA,484,0,412.083333333333,484,80.6666666666667,NA,80.6666666666667,NA,0.469604806508191,1030.65384615385,10,0,0,0,40,1081701,2.09999996423721,6064.89013671875,18194.669921875,2.12,1.79923249023037,1.7727010359428,1.7727010359428,1.72387970827715,1.62488325280602
20,4,2,2,0,0,2,0,0,0,3,563.886417682135,30.7910687712273,11.5698419661352,84.3172031686794,278.241231375355,11.6966981854097,3,2.1,33,1,2,0,1,0,0,1,23.9453125,122.92724082869,28,2,0,1,0,0,1,20.5373117703163,189.674862042356,786.115384615385,196.528846153846,374.340659340659,110,0,198.25,110,27.5,52.3809523809524,27.5,52.3809523809524,0.122752049444182,896.115384615385,11,0,0,0,40,1081701,2.73999997973442,6064.89013671875,24259.560546875,3.41,2.54878856906626,2.84163769491379,2.7744923531077,2.76880786729496,2.53070278536609
22,4,NA,NA,0,NA,NA,NA,0,0,0,273.543479923518,5.8961,2.433475,54.5651457757576,62.0129166666667,2.82153621439407,2,NA,43,2,3,0,0,1,0,1,15.6999199218758,39.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.538461538462,107.134615384615,NA,270,0.845238095238095,37.5,270.845238095238,67.5,NA,67.7113095238095,NA,0.387262726078821,699.3836996337,9,1,1,1,40,1347301,2.04999995231628,6064.89013671875,18194.669921875,2.48,1.88452896339097,2.0857442746574,2.18040018672254,2.08016068973181,1.8683119318097
23,5,4,1,0,1,0,2,0,0,6,888479.506809825,70486.1670452933,41049.3225153846,15378.2353659491,1185891.95817357,622.763490030985,2,2.8,56,1,2,0,0,1,0,1,16.9291179330296,233749.899765001,47,2,0,1,0,0,1,18.5737769515051,204434.323681335,953.269230769231,190.653846153846,340.453296703297,50,80,0,130,10,17.8571428571429,26,46.4285714285714,0.120007101011894,1083.26923076923,10,0,0,0,40,1347301,4.34999996423721,6064.89013671875,30324.451171875,4.07,3.79073031988124,4.3458404546805,4.38467173882609,4.25276279853575,3.59115820142942
24,4,NA,NA,0,NA,NA,NA,0,0,0,1196.88176800978,71.5123865808823,40.2107670955882,139.603595670535,348.663792046569,20.5213198237642,2,NA,47,2,3,0,0,1,0,0,17.7598572785741,162.762038390882,NA,NA,NA,NA,NA,NA,NA,NA,NA,469.230769230769,117.307692307692,NA,145,0,0,145,36.25,NA,36.25,NA,0.23606762680025,614.230769230769,8,1,0,0,40,1347301,2.5799999833107,6064.89013671875,18194.669921875,2.43,1.76980256900425,2.18110555643834,2.18499764270047,2.12308925014223,1.73894861643952
25,3,3,0,0,0,0,1,0,0,6,888.236718075823,80.8419657468553,24.9097708178908,78.0149298306446,1265754.3739754,20.0743947905008,2,2,78,1,2,0,0,1,0,1,18.0877571353828,302.292500108229,63,2,0,0,1,0,0,17.2618066834577,299.562761159238,989.903846153846,329.967948717949,494.951923076923,150,775.704166666667,15,925.704166666667,50,75,308.568055555556,462.852083333333,0.483243001945724,1915.60801282051,8,0,0,0,40,1347301,2.31999999284744,6064.89013671875,18194.669921875,2.21,1.97246039435985,2.34963477352052,2.34963477352052,2.4637931335327,1.94797998709573
26,3,2,1,0,1,0,0,0,0,6,403685.119896801,14382.1890203754,6435.12066737044,70857.9074810588,115795.182274577,4664.39823263583,2,1.8,61,1,2,0,0,1,0,0,38.8559525717032,120.711563657182,53,2,0,0,1,0,0,19.3111950313661,526.036631857626,1397.46153846154,465.820512820513,776.367521367521,330,0,45.5538011695906,330,110,183.333333333333,110,183.333333333333,0.191031749565837,1727.46153846154,12,0,0,0,40,1347301,2.20999997854233,6064.89013671875,18194.669921875,2.47,1.88753880340313,1.91325039293791,1.96307636363879,2.01208409340837,1.86575294119598
27,4,2,2,0,2,0,0,1,0,7,10804.3240432305,352.975431122145,80.0987464364446,2154.68764683064,1017054.97150109,99.3604570629913,2,2.1,33,1,2,0,0,1,0,1,16.8298088380006,476.218349808865,28,2,0,1,0,0,0,22.859997723218,445.396698839101,787.730769230769,196.932692307692,375.10989010989,272,333.414285714286,191.25,605.414285714286,68,129.52380952381,151.353571428571,288.292517006803,0.434566582686656,1393.14505494505,11,0,0,0,40,1347301,2.75999996066093,6064.89013671875,24259.560546875,3.43,2.46326933431329,2.79148851970446,2.85835338527513,2.79739937734388,2.40448985521669
28,5,NA,NA,0,NA,NA,NA,0,0,0,1508.52363623268,67.2695188689545,86.8823894692792,776.756951602235,385.716659093314,21.9993608379279,2,NA,39,1,2,0,0,1,0,1,19.0460865454173,360.569293269518,33,2,0,1,0,0,1,20.3822068015296,811.02943278797,991.115384615385,198.223076923077,NA,144,0.6,304.566666666667,144.6,28.8,NA,28.92,NA,0.127320631523337,1135.71538461538,11,0,0,0,40,1347301,3.07999992370605,6064.89013671875,24259.560546875,3.8,3.057717217859,3.18505332828701,3.11083650006998,2.98122352094291,2.93155454311736
29,6,3,3,0,1,2,1,0,0,7,1579258.82983764,146315.826054036,72297.2048874804,124096.547128795,2098261.87284261,16087.4691555617,2,2.9,38,1,2,0,1,0,0,0,29.4585822669671,404548.284135669,28,2,0,1,0,1,0,30.4081632653061,244226.522086461,849.423076923077,141.570512820513,292.90450928382,271,18,51.5,289,45.1666666666667,93.448275862069,48.1666666666667,99.6551724137931,0.25385992770026,1138.42307692308,11,0,0,0,40,1347301,3.88999998569489,6064.89013671875,36389.33984375,4.64,2.43452034155897,3.20528365632772,3.20144302242733,3.47722399515012,2.57410565681596
30.1,6,NA,NA,NA,NA,NA,NA,0,0,0,1568.47339839111,135.145095362876,56.5944575359268,125.814446461652,1608235.63684119,28.1308470830842,2,NA,38,1,2,0,1,0,0,0,21.2357776423796,857.606100520124,30,2,0,1,0,0,0,24.8907990679931,471.920276659482,615.384615384615,102.564102564103,NA,182,10,0,192,30.3333333333333,NA,32,NA,0.237804878048781,807.384615384615,12,0,0,0,40,1347301,2.31999996304512,6064.89013671875,18194.669921875,2.54,1.80302683278543,1.95249812231302,1.95249812231302,2.13406630922822,1.80814151908854
31,3,2,1,0,1,0,0,0,0,0,996.486546803738,65.5998142965368,31.7098775811688,108.198965176459,1110.91846110308,18.6523457900573,2,1.8,63,1,2,0,0,1,0,1,NA,NA,48,2,0,0,1,0,0,28.7598252084342,394.721167339353,471.173076923077,157.057692307692,261.762820512821,80,1.2,0,81.2,26.6666666666667,44.4444444444444,27.0666666666667,45.1111111111111,0.147002095852162,552.373076923077,8,0,0,0,40,1347301,2.36000001430511,6064.89013671875,18194.669921875,1.65,1.64896019560213,1.54359423303566,1.58242551718125,1.55815531903248,1.58784792859856
32,6,NA,NA,0,NA,NA,NA,0,0,0,38222.0896646272,166.108548666667,41.1621595714286,2875.16418005527,4289.858458,132.028426352742,2,NA,53,1,2,0,0,0,0,0,19.5232149292845,635.551402606626,47,2,0,0,0,0,0,25.0094088795542,560.993177418348,4837.73076923077,806.288461538462,NA,352,0,206.846153846154,352,58.6666666666667,NA,58.6666666666667,NA,0.0678262545114983,5189.73076923077,10,1,0,0,40,1347301,4.13999992609024,6064.89013671875,30324.451171875,4.12,3.29958982034059,3.57507456046391,3.57507456046391,3.65330332973407,3.17769074192944
33,3,2,1,0,1,0,0,0,0,10,1332.63435293997,22870.5554223618,24.9797337392912,141.399131634833,444066.985609661,37.0512517162999,2,1.8,63,1,2,0,0,1,0,0,20.5254203530068,466.680346619983,55,2,0,0,1,0,0,17.4708313077297,432.453575851479,1055.96153846154,351.98717948718,586.645299145299,180,394.785714285714,132.083333333333,574.785714285714,60,100,191.595238095238,319.325396825397,0.352467688243777,1630.74725274725,11,0,0,0,40,1347301,2.27999997138977,6064.89013671875,18194.669921875,2.41,1.93613572995578,2.09443039985937,1.96627461448992,2.01208409340837,1.95274364646932
34,5,4,1,0,0,1,3,0,0,6,1263569.76813839,108986.011364595,62128.2538393706,934.231774346736,557.296275181945,22.1109570028351,2,2.8,27,1,1,0,1,0,0,0,24.0672310167991,261246.870426934,NA,NA,NA,NA,NA,NA,NA,NA,NA,13732.1538461538,2746.43076923077,4904.34065934066,855,3.71129169568919,458.479824561404,858.711291695689,171,305.357142857143,171.742258339138,306.682604177032,0.0588526645666913,14590.8651378495,12,0,0,0,40,1347301,3.84999996423721,6064.89013671875,30324.451171875,4.31,2.8067786561468,3.25622005568629,3.1890747138802,3.31541235459885,2.64969395771445
35,4,NA,NA,0,NA,NA,NA,0,0,0,384097.828663765,2401.25046692909,2562.50067624367,72484.518752232,83585.523060446,1566.66135305956,2,NA,53,2,3,0,1,0,0,0,20.3048968942492,109165.60025257,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123.88461538462,280.971153846154,NA,113,0,142.5,113,28.25,NA,28.25,NA,0.0913585621443453,1236.88461538462,10,0,0,0,40,1347301,2.46999996900558,6064.89013671875,18194.669921875,2.64,1.14595504858945,1.90243647122948,1.90243647122948,1.91359841831412,1.12728253560701
36,5,3,2,0,1,1,1,0,0,10,2035.98479450257,54451.9148021909,116.164251151994,5209.68290541052,725.990148316772,36.374539798464,2,2.6,43,1,2,0,1,0,0,0,28.4824083300363,414.897950661889,35,2,0,1,0,0,0,16.4541844869295,412.975941616102,1917.69230769231,383.538461538462,737.573964497041,300,941.5,0,1241.5,60,115.384615384615,248.3,477.5,0.392980192113369,3159.19230769231,11,0,0,0,40,1347301,4.44999992847443,6064.89013671875,30324.451171875,4.9,3.76527442612623,4.19986867522585,4.17389802149934,4.06277441901738,3.70700117929809
37,5,2,3,0,2,1,0,1,0,6,1462.06806045208,150.427386044482,56.5579424209258,138.235924765463,1091349.00160578,27.7279170442617,2,2.4,43,1,2,0,0,0,0,0,22.2589531680441,297.295082174833,38,2,0,1,0,0,0,28.1837216583878,470.76223160194,1854.61538461538,370.923076923077,772.75641025641,212,200.416666666667,0,412.416666666667,42.4,88.3333333333333,82.4833333333333,171.840277777778,0.18191920420068,2267.03205128205,11,0,0,0,40,1347301,3.4899999499321,6064.89013671875,30324.451171875,3.96,2.91259824276438,3.22325949966762,3.02795837249208,2.96625222383111,2.75185550529855
38,7,NA,NA,0,NA,NA,NA,1,0,0,1127289.08243188,97473.1963243325,55563.6031584883,68.5051297797402,997.728362040183,18793.8311203435,2,NA,48,1,2,0,0,1,0,1,21.6100226318384,249123.044492433,41,2,0,1,0,0,1,24.1932982496045,249139.06432122,752.5,107.5,NA,166,136.800815505213,7.5,302.800815505213,23.7142857142857,NA,43.2572593578876,NA,0.286933176830959,1055.30081550521,10,0,0,0,40,1347301,4.63999992609024,6064.89013671875,36389.33984375,4.6,4.20323888019812,4.35970122416793,4.28790357661649,4.15353881317165,3.98939168287994
39,5,NA,NA,NA,NA,NA,NA,1,0,0,1662.50532754512,81.5221561078829,42.3205777515977,34054.9429549899,983.846529058322,22.0450623411332,2,NA,26,1,2,0,1,0,0,1,31.0201627634103,403.180771373706,22,2,0,1,0,0,0,23.5630517202354,582.177878487298,6234.78846153846,1246.95769230769,NA,223,492.18315018315,37.7190476190476,715.18315018315,44.6,NA,143.03663003663,NA,0.102904470714232,6949.97161172161,12,0,0,0,40,1347301,2.30999997258186,6064.89013671875,18194.669921875,2.71,2.4599949035213,2.37173120586054,2.27770813798582,2.50053581583046,2.45253282114311
41,5,NA,NA,0,NA,NA,NA,0,0,0,1566.72499443718,50.4218351534236,18.316978142168,296.269396751527,291.289814066059,19.9666705483213,2,NA,51,1,2,0,1,0,0,0,15.5856510415063,1401.33613509887,41,2,0,1,0,0,0,23.0174375652006,60.2509505786225,514.307692307692,102.861538461538,NA,120,569.028333333333,0,689.028333333333,24,NA,137.805666666667,NA,0.572598441874358,1203.33602564103,9,0,0,0,40,1604101,3.51999992132187,6064.89013671875,24259.560546875,3.57,2.79248801619666,3.17697001809384,3.04881423272438,2.98662319684326,2.67397475240545
42,6,3,3,0,1,2,1,0,0,0,1045.44551062595,81.2411263557981,25.8656813391557,129.174932623147,817.189961561849,20.5880863298733,2,2.9,48,1,2,0,0,1,0,1,NA,NA,43,2,0,1,0,0,1,20.4514297917485,147.519965901953,1414.46153846154,235.74358974359,487.745358090186,172,29.5808333333333,130.166666666667,201.580833333333,28.6666666666667,59.3103448275862,33.5968055555556,69.5106321839081,0.124737344052091,1616.04237179487,9,0,0,0,40,1604101,4.32999992370605,6064.89013671875,36389.33984375,4.02,2.8629895880366,3.20745186364201,3.21468028676288,3.23330172084638,2.87836291696315
43,5,2,3,0,2,1,0,0,0,12,987.28964844429,2561.35163935065,20.7873243506493,66752.7977261433,9892.60266856061,16543.6334289249,2,2.4,44,1,2,0,1,0,0,1,18.9057387183778,303.359835955154,41,2,0,1,0,0,1,19.5254321023532,210.146378411264,977.653846153846,195.530769230769,407.355769230769,60,733.428571428571,297.480769230769,793.428571428571,12,25,158.685714285714,330.595238095238,0.447990767426637,1771.08241758242,12,0,0,0,40,1604101,3.96999996900558,6064.89013671875,30324.451171875,4.29,3.37153005161221,4.17325550367531,4.08393100245143,4.00874477235898,3.16699633074087
45,3,NA,NA,0,NA,NA,NA,0,0,0,486.733064441114,32.9564527427556,29.7127219530742,51.8947748463991,396.250365187688,7.49908675237197,2,NA,77,1,2,0,1,0,0,1,18.9017435228939,245.018504211669,65,2,0,1,0,0,0,20.7773438593544,241.714560229446,1016,338.666666666667,NA,102,522.652380952381,131.666666666667,624.652380952381,34,NA,208.21746031746,NA,0.380734144663708,1640.65238095238,12,0,0,0,40,1604101,1.29000002145767,6064.89013671875,12129.7802734375,1.21,1.3189646712432,1.51951295524596,1.51951295524596,1.59761757237092,1.29988169865368
46,6,4,2,0,0,2,2,0,0,9,3635.86627371769,186.717085333631,61.2663970025731,581.962464961582,491598.337830763,10819.7163384524,2,3.1,50,1,2,0,1,0,0,1,20.8698416305808,709.782748398661,41,2,0,1,0,0,1,23.9525490311909,566.140466488211,4371.88461538462,728.647435897436,1410.28535980149,50,242.520512820513,10,292.520512820513,8.33333333333333,16.1290322580645,48.7534188034188,94.3614557485525,0.0627133588915068,4664.40512820513,10,0,0,0,40,1604101,5.36999988555908,6064.89013671875,36389.33984375,5.13,4.19959637212229,5.30956196079977,5.33230697062665,5.08107298544869,3.93475594865492
47,4,NA,NA,0,NA,NA,NA,0,0,0,32336.5553294644,1823.87230819816,831.171315868005,2039.5238582185,14268.9850970264,579.770316566786,2,NA,51,2,2,0,0,1,0,1,20.276285334255,32018.681600331,NA,NA,NA,NA,NA,NA,NA,NA,NA,2246.15384615385,561.538461538462,NA,205,4.27051282051282,13.3633333333333,209.270512820513,51.25,NA,52.3176282051282,NA,0.0852278393572368,2455.42435897436,12,0,0,0,40,1604101,2.2399999499321,6064.89013671875,18194.669921875,2.54,1.49517591094985,2.31262647317526,2.1844706878058,2.03546180882102,1.34410853523215
48,7,NA,NA,0,NA,NA,NA,1,0,0,630027.899443574,3323.08346638958,1243.37147553469,59988.1293751548,1015002.55019634,487.260789485015,2,NA,75,1,2,0,1,0,1,1,20.4786680541103,207901.492136224,69,2,0,1,0,0,0,18.4881259253534,194949.942645034,2117.5,302.5,NA,200,317.14,0,517.14,28.5714285714286,NA,73.8771428571429,NA,0.196284881425925,2634.64,11,0,0,0,40,1604101,3.49000000953674,6064.89013671875,36389.33984375,3.25,2.5907857597836,3.05166029258306,3.02036136579248,3.04088537255702,2.50818384444544
