"hhid","hhsize","adult","child","poly","boy","girl","otheradult","porl_hh","spouseabroad_hh","mealdata_hhmin","hh_kcal","hh_protein","hh_fat","hh_carb","hh_calcium","hh_iron","sampletype","AE_OECD","agehead","sexhead","maritalhead","abroadhead","lithead","noschoolhead","secondschoolhead","agworkhead","BMIhead","I_kcalhead","agespouse","sexspouse","abroadspouse","litspouse","noschoolspouse","secondschoolspouse","agworkspouse","BMIspouse","I_kcalspouse","nonfoodexp_hhwk","nonfoodexp_hhwk_pc","nonfoodexp_hhwk_AE_OECD","foodpurch_hhwk","foodprod_hhwk","foodother_hhwk","foodtot_hhwk","foodpurch_hhwk_pc","foodpurch_hhwk_AE_OECD","foodtot_hhwk_pc","foodtot_hhwk_AE_OECD","foodshare","totexp_hhwk","hhds","nofood","hungrynight","hungryday","dvcode","vcode","aeu","hhweightR2","popweightR2","hhsize_India_grp","hhsize_FAO_I","hhsize_FAO_age","hhsize_FAO_grp","hhsize_IOM_grp","hhsize_IOM_I"
1,4,NA,NA,0,NA,NA,NA,0,0,0,1228.84353728489,5419.44393857143,69.7456976190476,85.5430146346281,948299.167599333,14.1413944604198,3,NA,57,1,2,0,0,1,0,1,21.5183463280031,409.614512428298,50,2,0,0,1,0,1,22.854229570736,409.614512428298,836.884615384615,209.221153846154,NA,156,0,0,156,39,NA,39,NA,0.157117954677513,992.884615384615,8,1,1,1,40,1081701,2.88999992609024,6064.89013671875,18194.669921875,2.56,2.647530895171,2.85914019516637,2.82187447478189,2.82589352480756,2.50016294814572
2,3,3,0,0,0,0,1,0,0,6,503.12736964957,40.6999620552664,10.0975042329838,73778.1100707553,722698.789033909,17531.1839119563,3,2,51,1,2,0,0,1,0,1,23.1585759696464,156.029780707225,45,2,0,1,0,0,0,20.4449481565678,177.144580839369,718.230769230769,239.410256410256,359.115384615385,23,227.576666666667,65,250.576666666667,7.66666666666667,11.5,83.5255555555556,125.288333333333,0.258644450261212,968.807435897436,8,0,0,0,40,1081701,2.88999992609024,6064.89013671875,18194.669921875,2.58,2.40506197522661,2.59706136689505,2.59706136689505,2.54010582832007,2.30174247214717
3,4,4,0,0,0,0,2,1,0,0,218693.981616162,8861.86510437229,17390.6532045743,6480.98309902783,28561.9610399327,1299.61409625889,3,2.5,48,1,2,0,1,0,0,0,22.620747826587,256.602254730889,41,2,0,1,0,0,1,23.1816839658724,218437.379361431,375,93.75,150,126,3,188.958333333333,129,31.5,50.4,32.25,51.6,0.255952380952381,504,10,0,0,0,40,1081701,3.70999991893768,6064.89013671875,24259.560546875,1.63,1.61925887645275,1.69359878316233,1.69359878316233,1.66603159059282,1.49808267692374
4,5,NA,NA,0,NA,NA,NA,0,0,0,3741.67118083839,252.091073809524,9196.56916131006,417.514237363896,6104.18730130045,184.281042261808,3,NA,33,1,1,0,0,1,0,1,20.5313333399209,909.072710966447,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.84615384615,854.969230769231,NA,396,498.916937543534,615,894.916937543534,79.2,NA,178.983387508707,NA,0.173105986042964,5169.76309138969,12,0,0,0,40,1081701,3.4899999499321,6064.89013671875,24259.560546875,3.51,3.26449228391206,3.48126163109024,3.48126163109024,3.4631315323743,3.21317019941914
5,4,4,0,0,0,0,2,0,0,9,2045.96367157833,163.907283237173,65.392242427584,21012.409205793,479399.425989726,47.8718479270657,3,2.5,56,1,2,0,1,0,0,1,23.4276888040165,508.197907345023,48,2,0,1,0,0,1,30.8695336003556,542.757779468282,3622.23076923077,905.557692307692,1448.89230769231,560,1256.9881492389,247.1,1816.9881492389,140,224,454.247037309724,726.795259695559,0.334053138230757,5439.21891846967,12,0,0,0,40,1081701,3.70999991893768,6064.89013671875,24259.560546875,3.6,3.22907240484481,3.5035010633796,3.5035010633796,3.42721996480351,3.05980635195496
6,6,2,4,0,4,0,0,0,0,0,1275.36870142303,138.171751428741,41.2315463685187,81.66095598548,1222.929626046,34.2020422637385,3,2.7,45,1,2,0,0,1,0,0,20.6076319804581,335.459499952297,28,2,0,1,0,0,1,24.6644556458855,279.542405641254,520.865384615385,86.8108974358974,192.913105413105,78,48.1466666666667,468.254761904762,126.146666666667,13,28.8888888888889,21.0244444444444,46.720987654321,0.194968032537737,647.012051282051,8,0,0,0,40,1081701,4.47999992966652,6064.89013671875,36389.33984375,4.55,3.29247552459598,3.64186436483725,3.741516306239,3.8630762660868,3.21341643122171
7,4,3,1,0,1,0,1,0,0,8,2555.07169969051,28515.8867689323,110.040478669462,1052.08350548257,1847.4782121025,38.5769976796532,3,2.3,36,1,2,0,1,0,1,1,28.8839545025287,891.239551306565,24,2,0,1,0,1,0,24.0454222026916,570.931533562391,6758.71153846154,1689.67788461538,2938.57023411371,276,803.720270876867,48,1079.72027087687,69,120,269.930067719217,469.44359603342,0.137746975050613,7838.43180933841,11,0,0,0,40,1081701,3.33999994397163,6064.89013671875,24259.560546875,3.54,3.60202770620224,3.32026134813414,3.32026134813414,3.4497547290517,3.61217827271808
8,4,3,1,0,0,1,1,0,0,6,3455.05708519227,261.981629766601,46019.9636291585,82887.9465085239,884.253393583169,53.217903967079,3,2.3,63,1,2,0,1,0,1,1,18.6244637624789,888.962776268376,51,2,0,1,0,1,0,25.9374855067858,790.30308314938,3292,823,1431.30434782609,1069,816.171584426976,675,1885.17158442698,267.25,464.782608695652,471.292896106744,819.639819316076,0.364131563670326,5177.17158442698,11,0,0,0,40,1081701,3,6064.89013671875,24259.560546875,3.01,2.57255300440672,2.86965676317949,2.82898432293039,2.7680488040325,2.43792905833628
9,5,NA,NA,0,NA,NA,NA,0,0,0,471.156686342791,27.0078252833479,20.5932965998256,43.3883617359605,149.20995016565,5.57940967058482,3,NA,43,1,2,0,1,0,0,1,20.6758974459764,120.260273087496,33,2,0,1,0,0,0,26.6514461438106,115.3180700839,861,172.2,NA,220,0.0556458478445941,159.583333333333,220.055645847845,44,NA,44.0111291695689,NA,0.203556261597672,1081.05564584784,11,0,0,0,40,1081701,3.13999992609024,6064.89013671875,24259.560546875,3.62,2.90844286711575,3.14122478900305,3.08975297061288,2.95210258732362,2.67952000743074
10.1,7,NA,NA,0,NA,NA,NA,0,0,0,6946.99583173996,391.8388,49372.0916,514.718017687273,7813.6763,263.050797869992,3,NA,42,1,2,0,1,0,1,1,22.3769377338935,1926.80308490199,35,2,0,1,0,0,1,22.4917560828725,1853.52455610514,2961.34615384615,423.049450549451,NA,430,8.05564584784459,465,438.055645847845,61.4285714285714,NA,62.5793779782635,NA,0.12886256808103,3399.401799694,11,0,0,0,40,1081701,4.6599999666214,6064.89013671875,36389.33984375,5.09,4.23787674981887,4.75112113884491,4.8430694070327,4.70679384177502,3.93332908288426
